[Epoch: 1/7][Iter: 0/28152][lr: 0.000000][losses: 0.66][yolo_loss:tensor([0.0410], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.97]
[Epoch: 1/7][Iter: 10/28152][lr: 0.000002][losses: 0.63][yolo_loss:tensor([0.0395], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.23]
[Epoch: 1/7][Iter: 20/28152][lr: 0.000004][losses: 0.64][yolo_loss:tensor([0.0402], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.07]
[Epoch: 1/7][Iter: 30/28152][lr: 0.000006][losses: 0.62][yolo_loss:tensor([0.0390], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.10]
[Epoch: 1/7][Iter: 40/28152][lr: 0.000008][losses: 0.65][yolo_loss:tensor([0.0406], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.09]
[Epoch: 1/7][Iter: 50/28152][lr: 0.000010][losses: 0.65][yolo_loss:tensor([0.0409], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.08]
[Epoch: 1/7][Iter: 60/28152][lr: 0.000012][losses: 0.65][yolo_loss:tensor([0.0409], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.08]
[Epoch: 1/7][Iter: 70/28152][lr: 0.000014][losses: 0.65][yolo_loss:tensor([0.0406], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.07]
[Epoch: 1/7][Iter: 80/28152][lr: 0.000016][losses: 0.63][yolo_loss:tensor([0.0395], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.06]
[Epoch: 1/7][Iter: 90/28152][lr: 0.000018][losses: 0.63][yolo_loss:tensor([0.0393], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.05]
[Epoch: 1/7][Iter: 100/28152][lr: 0.000020][losses: 0.64][yolo_loss:tensor([0.0397], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.09]
[Epoch: 1/7][Iter: 110/28152][lr: 0.000022][losses: 0.65][yolo_loss:tensor([0.0404], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.30]
[Epoch: 1/7][Iter: 120/28152][lr: 0.000024][losses: 0.63][yolo_loss:tensor([0.0395], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.23]
[Epoch: 1/7][Iter: 130/28152][lr: 0.000026][losses: 0.64][yolo_loss:tensor([0.0400], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.20]
[Epoch: 1/7][Iter: 140/28152][lr: 0.000028][losses: 0.63][yolo_loss:tensor([0.0394], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.19]
[Epoch: 1/7][Iter: 150/28152][lr: 0.000030][losses: 0.64][yolo_loss:tensor([0.0402], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 160/28152][lr: 0.000032][losses: 0.78][yolo_loss:tensor([0.0487], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.27]
[Epoch: 1/7][Iter: 170/28152][lr: 0.000034][losses: 0.62][yolo_loss:tensor([0.0389], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.20]
[Epoch: 1/7][Iter: 180/28152][lr: 0.000036][losses: 0.62][yolo_loss:tensor([0.0390], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.57]
[Epoch: 1/7][Iter: 190/28152][lr: 0.000038][losses: 0.63][yolo_loss:tensor([0.0397], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.25]
[Epoch: 1/7][Iter: 200/28152][lr: 0.000040][losses: 0.64][yolo_loss:tensor([0.0398], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.29]
[Epoch: 1/7][Iter: 210/28152][lr: 0.000042][losses: 0.63][yolo_loss:tensor([0.0394], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.30]
[Epoch: 1/7][Iter: 220/28152][lr: 0.000044][losses: 0.63][yolo_loss:tensor([0.0395], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.20]
[Epoch: 1/7][Iter: 230/28152][lr: 0.000046][losses: 0.62][yolo_loss:tensor([0.0387], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.26]
[Epoch: 1/7][Iter: 240/28152][lr: 0.000048][losses: 0.63][yolo_loss:tensor([0.0395], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.43]
[Epoch: 1/7][Iter: 250/28152][lr: 0.000050][losses: 0.62][yolo_loss:tensor([0.0390], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.44]
[Epoch: 1/7][Iter: 260/28152][lr: 0.000052][losses: 0.62][yolo_loss:tensor([0.0389], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.36]
[Epoch: 1/7][Iter: 270/28152][lr: 0.000054][losses: 0.63][yolo_loss:tensor([0.0393], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.28]
[Epoch: 1/7][Iter: 280/28152][lr: 0.000056][losses: 0.62][yolo_loss:tensor([0.0390], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.42]
[Epoch: 1/7][Iter: 290/28152][lr: 0.000058][losses: 0.62][yolo_loss:tensor([0.0389], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.41]
[Epoch: 1/7][Iter: 300/28152][lr: 0.000060][losses: 0.62][yolo_loss:tensor([0.0390], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.46]
[Epoch: 1/7][Iter: 310/28152][lr: 0.000062][losses: 0.62][yolo_loss:tensor([0.0385], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 320/28152][lr: 0.000064][losses: 0.61][yolo_loss:tensor([0.0382], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.45]
[Epoch: 1/7][Iter: 330/28152][lr: 0.000066][losses: 0.60][yolo_loss:tensor([0.0373], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.13]
[Epoch: 1/7][Iter: 340/28152][lr: 0.000068][losses: 0.61][yolo_loss:tensor([0.0380], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.23]
[Epoch: 1/7][Iter: 350/28152][lr: 0.000070][losses: 0.61][yolo_loss:tensor([0.0384], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.27]
[Epoch: 1/7][Iter: 360/28152][lr: 0.000072][losses: 0.60][yolo_loss:tensor([0.0378], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.36]
[Epoch: 1/7][Iter: 370/28152][lr: 0.000074][losses: 0.59][yolo_loss:tensor([0.0370], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 380/28152][lr: 0.000076][losses: 0.60][yolo_loss:tensor([0.0378], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.17]
[Epoch: 1/7][Iter: 390/28152][lr: 0.000078][losses: 0.60][yolo_loss:tensor([0.0372], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.16]
[Epoch: 1/7][Iter: 400/28152][lr: 0.000080][losses: 0.59][yolo_loss:tensor([0.0370], device='cuda:0', grad_fn=<DivBackward0>)][time: 5.17]
